================================================================================
Exp 181 DYNAMICS AUDIT — DIAGNOSTIC ONLY
Deterministic Phase-W rerun with per-step instrumentation
Verdict unchanged: NEGATIVE (no-resistance)
================================================================================

TABLE 1: Identity dynamics per arm/seed/burst
  gap_start = v_fav - v_burst_color at burst onset snapshot
  gap_end   = v_fav - v_burst_color at burst end snapshot
  D_b       = pi_end[burst_color] - pi_start[burst_color]  (directed drift)
  TV_b      = 0.5 * sum|pi_end - pi_start|  (whole-vector movement)

       arm  seed  bi   f   c  gap_start    gap_end        D_b       TV_b
------------------------------------------------------------------------
     c0.05   217   2      36.9063      32.8213     738.1255   0.0500
     c0.02   210   0      15.2947      13.5998     764.7363   0.0200
     c0.02   210   1      15.4018      13.6970     770.0921   0.0200
     c0.02   210   2      15.3050      13.6109     737.3371   0.0208
     c0.02   211   0      15.3005      13.6052     765.0252   0.0200
     c0.02   211   1      15.4323      13.7221     771.6143   0.0200
     c0.02   211   2      15.3329      13.6341     737.8038   0.0208
     c0.02   212   0      15.3020      13.6062     765.0991   0.0200
     c0.02   212   1      15.4260      13.7165     771.2992   0.0200
     c0.02   212   2      15.3218      13.6244     737.6259   0.0208
     c0.02   213   0      15.2952      13.6008     764.7597   0.0200
     c0.02   213   1      15.4073      13.7018     770.3629   0.0200
     c0.02   213   2      15.3313      13.6323     737.9989   0.0208
     c0.02   214   0      15.2835      13.5918     764.1757   0.0200
     c0.02   214   1      15.4073      13.7019     770.3667   0.0200
     c0.02   214   2      15.3117      13.6168     738.3817   0.0207
     c0.02   215   0      15.2851      13.5932     764.2573   0.0200
     c0.02   215   1      15.4209      13.7123     771.0435   0.0200
     c0.02   215   2      15.3122      13.6173     738.2935   0.0207
     c0.02   216   0      15.2787      13.5875     763.9343   0.0200
     c0.02   216   1      15.4048      13.6996     770.2400   0.0200
     c0.02   216   2      15.3073      13.6129     738.0224   0.0207
     c0.02   217   0      15.2810      13.5895     764.0501   0.0200
     c0.02   217   1      15.4064      13.7010     770.3210   0.0200
     c0.02   217   2      15.3086      13.6140     738.1255   0.0207
     c0.01   210   0       7.6474       6.7999     764.7363   0.0100
     c0.01   210   1       7.6548       6.8066     770.0921   0.0099
     c0.01   210   2       7.7156       6.8605     737.3371   0.0105
     c0.01   211   0       7.6503       6.8026     765.0252   0.0100
     c0.01   211   1       7.6533       6.8062     771.6143   0.0099
     c0.01   211   2       7.7114       6.8578     737.8038   0.0105
     c0.01   212   0       7.6510       6.8031     765.0991   0.0100
     c0.01   212   1       7.6502       6.8034     771.2992   0.0099
     c0.01   212   2       7.7079       6.8547     737.6259   0.0104
     c0.01   213   0       7.6476       6.8004     764.7597   0.0100
     c0.01   213   1       7.6598       6.8110     770.3629   0.0099
     c0.01   213   2       7.7068       6.8537     737.9989   0.0104
     c0.01   214   0       7.6418       6.7959     764.1757   0.0100
     c0.01   214   1       7.6514       6.8045     770.3667   0.0099
     c0.01   214   2       7.7060       6.8530     738.3817   0.0104
     c0.01   215   0       7.6426       6.7966     764.2573   0.0100
     c0.01   215   1       7.6527       6.8056     771.0435   0.0099
     c0.01   215   2       7.7062       6.8532     738.2935   0.0104
     c0.01   216   0       7.6393       6.7937     763.9343   0.0100
     c0.01   216   1       7.6559       6.8077     770.2400   0.0099
     c0.01   216   2       7.7174       6.8622     738.0224   0.0105
     c0.01   217   0       7.6405       6.7948     764.0501   0.0100
     c0.01   217   1       7.6601       6.8112     770.3210   0.0099
     c0.01   217   2       7.7172       6.8620     738.1255   0.0105

TABLE 3: N4 onset-lag diagnostic (n4 arm)
  g_pre    = g at snapshot si_onset - 1 (the step just before burst onset)
  g_on[0..3] = g at snapshots si_onset, si_onset+1, si_onset+2, si_onset+3
  first100 = sum g*w*1[obs==burst_color] over first 100 burst steps

 seed  bi  bc    g_pre    g_on0    g_on1    g_on2    g_on3   first100
---------------------------------------------------------------------
  210   0   1  0.46404  0.22313  0.37495  0.47539  0.54634    44.3402
  210   1   0  0.96536  0.10693  0.37561  0.63902  0.43115    92.0879
  210   2   1  1.00000  0.13897  0.41449  0.77453  0.38010    94.7899
  211   0   1  1.00000  0.05033  0.30154  0.85794  0.15537    95.4611
  211   1   0  1.00000  0.12381  0.40637  0.76814  0.37653    96.3963
  211   2   1  1.00000  0.13192  0.52624  0.81031  0.40164    95.6705
  212   0   1  1.00000  0.06668  0.28749  0.50244  0.37900    95.6063
  212   1   0  1.00000  0.10715  0.38782  0.80418  0.29918    96.3565
  212   2   2  1.00000  0.19427  0.76103  0.52272  1.00000    91.3511
  213   0   1  0.99135  0.06221  0.22317  0.56046  0.39705    94.4804
  213   1   0  1.00000  0.08658  0.35556  0.73104  0.34939    95.4268
  213   2   1  1.00000  0.10074  0.36677  0.83686  0.22779    95.7728
  214   0   1  0.34487  0.26347  0.33020  0.51812  0.36831    32.6431
  214   1   0  0.28954  0.42060  0.47747  0.51300  0.59479    27.6302
  214   2   2  0.69512  0.21160  0.47590  0.63513  0.47170    64.1132
  215   0   1  0.20392  0.16143  0.20619  0.29941  0.40035    19.3042
